0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:03 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7401
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:03 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:18 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 500 1567
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:18 +0800] "GET /OnlineChatting/css/bootstrap.min.css HTTP/1.1" 200 123366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:18 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:18 +0800] "GET /OnlineChatting/js/jquery-3.1.1.min.js HTTP/1.1" 200 86709
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:18 +0800] "GET /OnlineChatting/img/error.png HTTP/1.1" 200 9719
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:18 +0800] "GET /OnlineChatting/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:19 +0800] "GET /OnlineChatting/img/bgimg.jpg HTTP/1.1" 200 267652
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:24 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:24 +0800] "GET /OnlineChatting/css/bootstrapValidator.min.css HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:24 +0800] "GET /OnlineChatting/js/bootstrapValidator.min.js HTTP/1.1" 200 110933
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:24 +0800] "GET /OnlineChatting/js/my.js HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:32 +0800] "GET /OnlineChatting/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:39 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:39 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:49 +0800] "POST /OnlineChatting/loginProcess HTTP/1.1" 200 7462
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:49 +0800] "GET /OnlineChatting/img/emotion_smile.png HTTP/1.1" 200 6384
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:49 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2349
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:55 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 7990
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:55 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:59 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:29:59 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:08 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:08 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 3723
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:13 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 9595
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:13 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:25 +0800] "GET /OnlineChatting/exit.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:25 +0800] "GET /OnlineChatting/login.jsp HTTP/1.1" 200 2366
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "POST /OnlineChatting/getMsg HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/msg.jsp HTTP/1.1" 200 4640
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/img/emotion_smile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/img/bgimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2017:00:30:34 +0800] "GET /OnlineChatting/js/bootstrap.min.js HTTP/1.1" 304 -
